id;start_date;end_date;language
1;2023-12-25T14:42:40;2023-12-25T15:15:44;ENGLISH
2;2023-12-25T16:08:54;2023-12-26T01:31:22;ENGLISH
3;2023-12-25T19:46:17;2023-12-25T08:37:09;ENGLISH
4;2023-12-26T02:52:22;2023-12-25T12:39:39;FRENCH
5;2023-12-25T10:21:48;2023-12-25T11:24:09;SPANISH
6;2023-12-25T21:00:24;2023-12-25T12:58:51;ENGLISH
7;2023-12-25T11:45:49;2023-12-25T09:30:36;SPANISH
8;2023-12-26T00:52:13;2023-12-26T00:15:59;ENGLISH
9;2023-12-25T14:28:53;2023-12-25T20:37:03;SPANISH
10;2023-12-26T02:01:19;2023-12-25T19:35:57;FRENCH
