id;street_address;postal_code;city;state_province
1;puny elderly customize;male carbonise;North Carter;adored glum past
2;clobber lumpy;dearly;Garrisonchester;dependent secretariat
3;whoever corsage pounding;boohoo;Pablostad;pasteurize failing
4;plier;ouch merrily work;South Donny;circa
5;duh gadzooks professional;regarding;East Leetown;instead
6;from urn;to sentimental;Buena Park;shyly swimming thankfully
7;nearly harmonious;slowly;West Rahulshire;admonish since beneath
8;ugh;blah;New Rafael;charming
9;pish;curler zoology;West Isabel;and
10;propose addle commonsense;lest speedily;North Hillardchester;always that
